strDrink,idDrink,strCategory,strAlcoholic,strInstructions,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
501 Blue,17105,Ordinary Drink,Alcoholic,Mix equal amounts into a glass with ice.,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,,,,,,,,,,,,,,,
747 Drink,178318,Cocktail,Alcoholic,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,,,,,,,1 oz,1 oz,1 oz,Top,,,,,,,,,,,
A Gilligan's Island,16943,Cocktail,Alcoholic,"Shaken, not stirred!",Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz ,,,,,,,,,,,
A midsummernight dream,15675,Ordinary Drink,Alcoholic,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,5 ,,,,,,,,,,,
A.D.M. (After Dinner Mint),14560,Cocktail,Alcoholic,shake vigorously,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with ,,,,,,,,,,,
Absinthe #2,12790,Homemade Liqueur,Alcoholic,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,,,,,,1 bottle ,50 gr ,50 ml pure ,1 tblsp ,1 ,,,,,,,,,,
Absolutely Fabulous,17224,Cocktail,Alcoholic,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,,1 shot ,2 shots ,Top up with,,,,,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Bomb,16333,Punch / Party Drink,Alcoholic,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,
Adam Sunrise,15567,Ordinary Drink,Alcoholic,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp ,,,,,,,,,,,
Addison Special,14272,Cocktail,Alcoholic,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with ,,,,,,,,,,,,
After sex,15182,Ordinary Drink,Alcoholic,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,
Apricot punch,15849,Punch / Party Drink,Alcoholic,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,,,,1 qt ,4 fifth ,1 fifth ,4 L ,1/2 gal ,,,,,,,,,,
Arctic Fish,14622,Punch / Party Drink,Alcoholic,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.",Vodka,Grape soda,Orange juice,Ice,Candy,,,,,,,,,,,1/3 part ,1/3 part ,1/3 part ,lots ,1 dash ,,,,,,,,,,
Arizona Antifreeze,16354,Shot,Alcoholic,Pour all ingredients into shot glass and slam !!!!,Vodka,Midori melon liqueur,Sweet and sour,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz ,,,,,,,,,,,,
Arizona Twister,17074,Cocktail,Alcoholic,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,,,,,,,1 shot ,1 shot ,1 shot ,1 splash ,1 splash ,1 splash ,1 dash ,crushed ,1 wedge ,,,,,,
Army special,17066,Cocktail,Alcoholic,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,
Army special,17066,Cocktail,Alcoholic,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,
Army special,17066,Cocktail,Alcoholic,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,
Army special,17066,Cocktail,Alcoholic,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,
Atlantic Sun,13423,Ordinary Drink,Alcoholic,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,,,,,,2 cl Smirnoff ,2 cl ,2 cl ,6 cl ,1 dash ,,,,,,,,,,
Atomic Lokade,13086,Ordinary Drink,Alcoholic,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,,,,5 oz ,1 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,
Autodafé,12756,Ordinary Drink,Alcoholic,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,
Avalon,15266,Ordinary Drink,Alcoholic,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,
Aztec Punch,14364,Punch / Party Drink,Alcoholic,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,
Aztec Punch,14364,Punch / Party Drink,Alcoholic,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,
Aztec Punch,14364,Punch / Party Drink,Alcoholic,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,
Aztec Punch,14364,Punch / Party Drink,Alcoholic,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,
Belgian Blue,14071,Soft Drink / Soda,Alcoholic,Just pour all ingredients in the glass and stir...,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,,,,,,,,2 cl ,1 cl ,1 cl ,Fill with ,,,,,,,,,,,
Bellini Martini,16176,Ordinary Drink,Alcoholic,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,,,,,,8 cubes,3 oz ,1.5 oz ,1.5 oz ,1 ,,,,,,,,,,
Black Russian,11102,Ordinary Drink,Alcoholic,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,Coffee liqueur,Vodka,,,,,,,,,,,,,,3/4 oz ,1 1/2 oz ,,,,,,,,,,,,,
Bloody Mary,11113,Ordinary Drink,Alcoholic,"Stirring gently, pour all ingredients into highball glass. Garnish.",Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,,,,,,,,,
Bloody Punch,178312,Punch / Party Drink,Alcoholic,"Place the thawed strawberries in a large bowl. Mash them with a fork to ensure no large chunks.

Step
2

 
In a punch bowl or pitcher, combine mashed strawberries, lime pulp and soda. Mix well.

Step
3

 
Add blueberries and raisins. They will float and look like bugs in the punch.",Vodka,Strawberries,Lime Juice,Lemon-lime soda,Lemon-lime soda,Raisins,Blueberries,,,,,,,,,10 shots,3 cups,1/2 cup,12 oz,12 oz,1 cup,1 cup,,,,,,,,
Blue Lagoon,11117,Ordinary Drink,Alcoholic,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,
Blue Mountain,11119,Ordinary Drink,Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes.",Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 oz ,1 tsp ,,,,,,,,,,
Brain Fart,17120,Punch / Party Drink,Alcoholic,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,,,,,,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,,,,,,,,,
Bruised Heart,16998,Shot,Alcoholic,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,
Bubble Gum,14730,Shot,Alcoholic,Layer in order into a shot glass.,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,,1/4 ,1/4 ,1/4 ,1/4 ,,,,,,,,,,,
Caribbean Orange Liqueur,12796,Homemade Liqueur,Alcoholic,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",Orange,Vodka,Sugar,,,,,,,,,,,,,3 large ,3 cups ,1 1/3 cup superfine ,,,,,,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Cherry Electric Lemonade,17174,Cocktail,Alcoholic,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,
Chocolate Black Russian,11243,Ordinary Drink,Alcoholic,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,,,,,,1 oz ,1/2 oz ,5 oz ,,,,,,,,,,,,
Cosmopolitan Martini,14133,Cocktail,Alcoholic,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",Cointreau,Vodka,Lime,Cranberry juice,,,,,,,,,,,,1/2 oz ,1 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,,
Dirty Martini,17181,Cocktail,Alcoholic,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,
Dirty Martini,17181,Cocktail,Alcoholic,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,
Dirty Martini,17181,Cocktail,Alcoholic,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,
Dirty Martini,17181,Cocktail,Alcoholic,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,
Espresso Martini,17212,Cocktail,Alcoholic,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",Vodka,Kahlua,Sugar syrup,,,,,,,,,,,,,5 cl,1 cl,1 dash,,,,,,,,,,,,
Flaming Dr. Pepper,13202,Shot,Alcoholic,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,,,,,,1 oz ,1 oz ,1 oz Bacardi ,1 oz ,1 oz ,,,,,,,,,,
Freddy Kruger,14688,Shot,Alcoholic,make it an ample size shot!!,Jägermeister,Sambuca,Vodka,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,
French Martini,17213,Cocktail,Alcoholic,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,
Gideon's Green Dinosaur,17002,Ordinary Drink,Alcoholic,Add all ingredients in collins glass with ice and stir.,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Fill with ,,,,,,,,,
Gideon's Green Dinosaur,17002,Ordinary Drink,Alcoholic,Add all ingredients in collins glass with ice and stir.,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Fill with ,,,,,,,,,
Gideon's Green Dinosaur,17002,Ordinary Drink,Alcoholic,Add all ingredients in collins glass with ice and stir.,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Fill with ,,,,,,,,,
Gideon's Green Dinosaur,17002,Ordinary Drink,Alcoholic,Add all ingredients in collins glass with ice and stir.,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Fill with ,,,,,,,,,
Godchild,11422,Ordinary Drink,Alcoholic,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Vodka,Amaretto,Heavy cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Godmother,11424,Ordinary Drink,Alcoholic,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Vodka,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,
Greyhound,17252,Cocktail,Alcoholic,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",Vodka,Grapefruit Juice,,,,,,,,,,,,,,1 1/2 oz,3 oz,,,,,,,,,,,,,
Harvey Wallbanger,11462,Ordinary Drink,Alcoholic,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Vodka,Galliano,Orange juice,,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,,,,,,,,,,,,
Ice Pick #1,13539,Ordinary Drink,Alcoholic,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Vodka,Iced tea,Lemon juice,,,,,,,,,,,,,1 1/2 oz ,6 oz ," to taste
",,,,,,,,,,,,
Irish Curdling Cow,16987,Cocktail,Alcoholic,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,,,,,
