,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
16,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
17,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
18,Adam Sunrise,15567,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",,"Den Mixer mit Eis auffüllen. Füllen Sie die Hälfte mit Bartons Wodka. 10 Teelöffel Zucker hinzufügen, 1/2 Dose Limonadenkonzentrat hinzufügen, mit Wasser füllen. 60 Sekunden lang mischen.",,,,Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp ,,,,,,,,,,,,No,2016-09-02 11:28:32
19,Addison Special,14272,,,,,,,,,Cocktail,,Alcoholic,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,,Mische die Zutaten in der angegebenen Reihenfolge in einem Shaker. Halb voll mit Eis füllen und gut schütteln. In ein Glas mit Eis abseihen und mit einem Kirsch- und Orangenkeil garnieren.,,,,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with ,,,,,,,,,,,,,No,2017-04-24 22:14:53
20,After sex,15182,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,,"Gießen Sie den Wodka und die Sahne über einige Eiswürfel in ein hohes Glas und füllen Sie ihn mit Saft. Damit es voll ist, verzieren Sie die Oberseite des Glases mit einer Grenadine und Zucker.",,,,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,,No,2017-04-24 22:18:22
21,Apricot punch,15849,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,,"Alle Zutaten in eine große Bowle geben. Füge Eis und 4 Orangen hinzu, die geschält und geteilt sind.",,,,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,,,,1 qt ,4 fifth ,1 fifth ,4 L ,1/2 gal ,,,,,,,,,,,No,2016-08-31 19:37:47
22,Arctic Fish,14622,,,,,,,,,Punch / Party Drink,,Alcoholic,Beer pilsner,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.",,"Das Glas mit Eis und Fisch füllen, Wodka, Traubensaft und Orangensaft hinzufügen. NICHT UMRÜHREN. Gut gekühlt servieren.",,,,Vodka,Grape soda,Orange juice,Ice,Candy,,,,,,,,,,,1/3 part ,1/3 part ,1/3 part ,lots ,1 dash ,,,,,,,,,,,No,2016-08-31 19:39:41
23,Arizona Antifreeze,16354,,,,,,,,,Shot,,Alcoholic,Shot glass,Pour all ingredients into shot glass and slam !!!!,,Alle Zutaten in ein Schnapsglas geben und verrühren.,,,,Vodka,Midori melon liqueur,Sweet and sour,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz ,,,,,,,,,,,,,No,2017-04-24 21:54:22
24,Arizona Twister,17074,,,,,,,,,Cocktail,,Alcoholic,Hurricane glass,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",,"Mischen Sie einfach die Zutaten für Rum, Wodka und Tequila unter. Füge großzügig Spritzer der Säfte zu der Ananas hinzu. Mit Grenadine abschließen. Crushed Ice sollte sich bereits im Glas befinden. Das Glas mit einem Ananaskeil abdecken.",,,,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,,,,,,,1 shot ,1 shot ,1 shot ,1 splash ,1 splash ,1 splash ,1 dash ,crushed ,1 wedge ,,,,,,,No,2017-04-24 22:08:55
25,Army special,17066,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",,"Wodka, Gin und Limetten in ein Glas geben und mit zerstoßenem Eis auffüllen. Warten Sie, bis das Eis leicht geschmolzen ist und genießen Sie es ohne Strohhalm.",,,,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,,No,2017-04-24 22:07:42
26,Army special,17066,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",,"Wodka, Gin und Limetten in ein Glas geben und mit zerstoßenem Eis auffüllen. Warten Sie, bis das Eis leicht geschmolzen ist und genießen Sie es ohne Strohhalm.",,,,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,,No,2017-04-24 22:07:42
27,Army special,17066,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",,"Wodka, Gin und Limetten in ein Glas geben und mit zerstoßenem Eis auffüllen. Warten Sie, bis das Eis leicht geschmolzen ist und genießen Sie es ohne Strohhalm.",,,,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,,No,2017-04-24 22:07:42
28,Army special,17066,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",,"Wodka, Gin und Limetten in ein Glas geben und mit zerstoßenem Eis auffüllen. Warten Sie, bis das Eis leicht geschmolzen ist und genießen Sie es ohne Strohhalm.",,,,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,,No,2017-04-24 22:07:42
29,Atlantic Sun,13423,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",,"Alle Zutaten schütteln, das Getränk mit Soda auffüllen. Mit einer Scheibe Orange garnieren.",,,,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,,,,,,2 cl Smirnoff ,2 cl ,2 cl ,6 cl ,1 dash ,,,,,,,,,,,No,2017-04-24 21:59:16
30,Atomic Lokade,13086,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",,"In einem Shaker Limonade, Wodka, blauen Curacao und Triple Sec vermengen. Mit Eis schütteln und in ein Glas abseihen. Nach Belieben Zucker hinzufügen",,,,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,,,,5 oz ,1 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,No,2017-04-24 21:56:52
31,Autodafé,12756,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,,Mischen und mit Sodawasser auffüllen. Getrunken von Finnen an einem sonnigen Tag zu jeder Jahreszeit und an jedem Tag.,,,,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,,No,2017-02-20 15:02:08
32,Avalon,15266,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",,"Füllen Sie ein hohes Glas mit Eis. Legen Sie den Finlandia Wodka, Zitronen- und Apfelsäfte, Pisang Ambon und geben Sie Limonade dazu. Leicht umrühren und mit einer spiralförmigen Gurkenhaut und einer roten Kirsche garnieren. Die Gurke sorgt für Schärfe und sieht attraktiv aus. Dieses von Timo Haimi kreierte Getränk erhielt 1991 den ersten Preis beim Finlandia Wodka Long Drink Wettbewerb.",,,,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,No,2017-04-24 22:22:11
33,Aztec Punch,14364,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",,"Alle Zutaten in einem Krug mischen. Gründlich mischen und in was auch immer geben, je größer, desto besser! Dieses Getränk birgt einen großen Schlag, also Vorsicht.",,,,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,,No,2016-02-03 15:49:51
34,Aztec Punch,14364,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",,"Alle Zutaten in einem Krug mischen. Gründlich mischen und in was auch immer geben, je größer, desto besser! Dieses Getränk birgt einen großen Schlag, also Vorsicht.",,,,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,,No,2016-02-03 15:49:51
35,Aztec Punch,14364,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",,"Alle Zutaten in einem Krug mischen. Gründlich mischen und in was auch immer geben, je größer, desto besser! Dieses Getränk birgt einen großen Schlag, also Vorsicht.",,,,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,,No,2016-02-03 15:49:51
36,Aztec Punch,14364,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",,"Alle Zutaten in einem Krug mischen. Gründlich mischen und in was auch immer geben, je größer, desto besser! Dieses Getränk birgt einen großen Schlag, also Vorsicht.",,,,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,,No,2016-02-03 15:49:51
37,Belgian Blue,14071,,,,,,,,,Soft Drink / Soda,,Alcoholic,Highball glass,Just pour all ingredients in the glass and stir...,,Einfach alle Zutaten in das Glas geben und umrühren.....,,,,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,,,,,,,,2 cl ,1 cl ,1 cl ,Fill with ,,,,,,,,,,,,Yes,2015-09-03 02:56:59
38,Bellini Martini,16176,,,,,,,,,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel.",,Füge Eiswürfel in den Shaker ein. Füge Wodka hinzu. Pfirsichschnaps dazugeben. Pfirsichnektar einfüllen. Schütteln. In ein Glas abseihen. Mit Zitronenspirale garnieren.,,,,Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,,,,,,8 cubes,3 oz ,1.5 oz ,1.5 oz ,1 ,,,,,,,,,,,No,2017-09-02 22:56:19
39,Black Russian,11102,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Old-fashioned glass,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,,Die Zutaten in ein old fashioned Glas mit Eiswürfeln geben. Vorsichtig umrühren.,,,,Coffee liqueur,Vodka,,,,,,,,,,,,,,3/4 oz ,1 1/2 oz ,,,,,,,,,,,,,,No,2017-09-02 16:54:49
40,Bloody Mary,11113,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Old-fashioned glass,"Stirring gently, pour all ingredients into highball glass. Garnish.",,Unter leichtem Rühren alle Zutaten in ein Highball-Glas geben. Garnieren.,,,,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,,,,,,,,,,Yes,2015-08-18 15:09:14
41,Bloody Punch,178312,,,,,,,Halloween,,Punch / Party Drink,,Alcoholic,Punch bowl,"Place the thawed strawberries in a large bowl. Mash them with a fork to ensure no large chunks.

Step
2

 
In a punch bowl or pitcher, combine mashed strawberries, lime pulp and soda. Mix well.

Step
3

 
Add blueberries and raisins. They will float and look like bugs in the punch.",,,,,,Vodka,Strawberries,Lime Juice,Lemon-lime soda,Lemon-lime soda,Raisins,Blueberries,,,,,,,,,10 shots,3 cups,1/2 cup,12 oz,12 oz,1 cup,1 cup,,,,,,,,,No,
42,Blue Lagoon,11117,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",,"Gießen Sie Wodka und Curacao in einem Highball-Glas über Eis. Mit Limonade füllen, mit der Kirsche verzieren und servieren.",,,,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,,Yes,2017-09-02 22:58:25
43,Blue Mountain,11119,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein old-fashioned Glas abseihen, das fast mit Eiswürfeln gefüllt ist.",,,,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 oz ,1 tsp ,,,,,,,,,,,Yes,2015-09-02 17:04:13
44,Brain Fart,17120,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,,"Alle Zutaten miteinander vermengen. Langsam und sanft. Funktioniert am besten, wenn Eis in die Bowle gegeben wird und die Soda sehr kalt ist.",,,,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,,,,,,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,,,,,,,,,,No,2017-09-02 23:01:42
