id,nameDisplay,abv,isOrganic,styleId,style_categoryId,style_category_name,style_name,style_shortName,style_description,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_fgMin,style_fgMax,name,brewery_id,brewery_name,brewery_nameShortDisplay,brewery_isInBusiness,brewery_isVerified,description,originalGravity,ibu,style_ogMax,style_category_description
qGDeH1,2 x 4,8.7,N,70.0,5.0,Belgian And French Origin Ales,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2 x 4,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"40% Belgian-style Quad Ale aged in brandy barrels with dates and currants added, 60% Belgian-style Dubbel Ale.",,,,
MgdJep,200th Anniversary Export Stout,6,N,24.0,2.0,Irish Origin Ales,Foreign (Export)-Style Stout,Export Stout,"As with classic dry stouts, foreign-style stouts have an initial malt sweetness and caramel flavor with a distinctive dry-roasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Bitterness may be high but the perception is often compromised by malt sweetness. Hop aroma and flavor should not be perceived. The perception of fruity esters is low. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",30,60,5.7,9.3,40,40,1.052,1.008,1.02,200th Anniversary Export Stout,HaPdSL,Guinness,Guinness,Y,N,Toffee caramel with subtle chocolate notes. Complex and very smooth with a balance of roasted malt and sweet chocolate.,,,,
ISTT06,2017 Beer Camp (2017),6.5,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2017 Beer Camp,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"At Beer Camp, no beer style is off limits, so we jumped at the idea of doing a Golden IPA using wheat malt for a light, dry body and bold American and experimental hops for intense citrus flavor. The perfect spring seasonal, we invite you to enjoy this year’s Beer Camp encore.",,50,,
v4KRep,20th Anniversary Imperial Hash IPA on Brett,9,N,31.0,3.0,North American Origin Ales,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,20th Anniversary Imperial Hash IPA on Brett,TMc6H2,SweetWater Brewing Company,Sweetwater,Y,N,"Extremely hop forward with a residual sweetness; golden in color with a haze.The Brettanomyces used is a SweetWater house blend.  As fermentation finishes, the Brett will start to produce its associated acids and phenols, lending a slightly tart finish. The aroma is fruity, herbal, tropical and citrusy, and the Brett gives a nice touch of funk and earthy phenolics.",,81,,
uIgENV,20th Street Ale Citra,7.3,N,,,,,,,,,,,,,,,,20th Street Ale Citra,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
WcP2Ww,20th Street Ale Crystal,7.3,N,,,,,,,,,,,,,,,,20th Street Ale Crystal,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
HyxQE4,20th Street Ale Magnum,7.3,N,,,,,,,,,,,,,,,,20th Street Ale Magnum,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
e9sjBk,21st Anniversary,7.9,N,57.0,5.0,Belgian And French Origin Ales,Belgian-Style Flanders Oud Bruin or Oud Red Ales,Flanders Red,"This light- to medium-bodied deep copper to brown ale is characterized by a slight to strong lactic sourness, and with ""Reds"" sometimes a balanced degree of acetic acid. Brettanomyces produced flavors and aromas are not part of character. A fruity-estery character which is often cherry-like is apparent with no hop flavor or aroma. Flanders brown ales have low to medium bitterness and a cocoa-like character from roast malt. Roasted malt character in aroma and flavor is acceptable at low levels. A very low degree of malt sweetness may be present and in balance with the acidity produced by Lactobacillus activity. Oak-like or woody characters may be pleasantly integrated into overall palate. Chill haze is acceptable at low serving temperatures. Some versions may be more highly carbonated and, when bottle conditioned, may appear cloudy (yeast) when served. These final beers are often blended old with new before packaging in order to create the brewer's intended balance of characters.",15,25,4.8,6.5,12,20,1.044,1.008,1.016,21st Anniversary,TMc6H2,SweetWater Brewing Company,Sweetwater,Y,N,"For our next few anniversary releases, we’re celebrating the beer mecca of Flanders, Belgium with a little east vs. west showdown. First off is an Oud Bruin (tr. Old Brown), which represents the style from the region of East Flanders. As the name indicates, this is an old style brown ale that uses a blend of microflora: bacteria such as acetobacter, lactobacillus and pediococcus; yeasts such as cultured saccharomyces yeast and brettanomyces wild yeasts to give the beer a specific sourness and funky aroma. We then aged it in American Oak foeders on top of cherries to give it a nice fruity punch that we know you’ll love.",,7,,
YZXVKq,25th Anniversary,9.8,N,158.0,3.0,North American Origin Ales,American-Style Imperial Porter,American Imperial Porter,"American-style imperial porters are black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness. Hop bitterness is perceived at a medium-low to medium level. Hop flavor and aroma may vary from being low to medium-high. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment hop character and malt derived sweetness. Diacetyl (butterscotch) levels should be absent.",35,50,5.5,9.5,40,40,1.08,1.02,1.03,25th Anniversary,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,Twenty Five is a special-release beer celebrating 25 years of craftsmanship from Breckenridge Brewery. Imperial Vanilla Porter Aged In Rum Barrels.,,,1.1,
7z8RTq,3 Weight,4,N,164.0,3.0,North American Origin Ales,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,3 Weight,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
f5CWb6,"30th Anniversary - Charlie, Fred & Ken's Bock",8.3,N,89.0,7.0,European-germanic Lager,German-Style Heller Bock/Maibock,Maibock,"The German word helle means light colored, and as such, a heller Bock is light straw to deep golden in color. Maibocks are also light-colored bocks. The sweet malty character should come through in the aroma and flavor. A lightly toasted and/or bready malt character is often evident. Roast or heavy toast/caramel malt character should be absent. Body is medium to full. Hop bitterness should be low, while noble-type hop aroma and flavor may be at low to medium levels. Bitterness increases with gravity. Fruity esters may be perceived at low levels. Diacetyl should be absent. Chill haze should not be perceived.",20,38,6,8,4,10,1.066,1.012,1.02,"30th Anniversary - Charlie, Fred & Ken's Bock",nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"Charlie Papazian and Fred Eckhart are the men who launched a thousand breweries. Their writing on the art of homebrewing and steadfast promotion of beer culture helped propel the craft brewing movement. Charlie and Fred agreed to work with us on this special ale in honor of our 30th anniversary. This Imperial Helles Bock is a testament to the ever-evolving brewer’s art. Bold yet balanced with distinct toasted malt character, moderate sweetness and clean and floral hops.",,,,
0KEzfx,30th Anniversary - Fritz and Ken's Ale,9.2,N,43.0,3.0,North American Origin Ales,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,30th Anniversary - Fritz and Ken's Ale,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
KjumXn,30th Anniversary - Grand Cru,9.2,N,138.0,11.0,Hybrid/mixed Beer,Other Strong Ale or Lager,Strong Ale,"Any style of beer can be made stronger than the classic style guidelines. The goal should be to reach a balance between the style's character and the additional alcohol. Refer to this guide when making styles stronger and appropriately identify the style created (for example: double alt, triple fest, or quadruple Pilsener).",,,,,,,,,,30th Anniversary - Grand Cru,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
8M5lCq,30th Anniversary - Jack & Ken's Ale,10.2,N,34.0,3.0,North American Origin Ales,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,30th Anniversary - Jack & Ken's Ale,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,"Jack McAuliffe was the first American ""micro"" brewer. His tiny New Albion Brewery in Sonoma, California inspired countless dreamers to start small-scale breweries of their own. Jack agreed to guest brew this very special ale with us in honor of our 30th anniversary. This Black Barleywine Ale is a nod to the legendary ales New Albion served at their legendary summer solstice parties. Rich with bittersweet and roasted malt flavors, balanced with whole-cone American hops, this robust ale should age gracefully for years.",,,,
ajbd6g,35th Anniversary  - Brewer's Reserve,8,N,14.0,1.0,British Origin Ales,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,35th Anniversary  - Brewer's Reserve,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,Y,N,,,,,
NoNhan,420 Extra Pale Ale,5.4,N,25.0,3.0,North American Origin Ales,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,420 Extra Pale Ale,TMc6H2,SweetWater Brewing Company,Sweetwater,Y,N,"SweetWater 420 Extra Pale Ale, our most popular brew, is a tasty West Coast-style pale ale with a stimulating hop character and a crisp finish. 1st brewed on April 20th 1997.

Grains – Munich, 40L, 2-Row
Hops – Centennial, Cascade

Awards – 2002 Silver Medal- Great American Beer Festival, 1997 – 2005 Creative Loafing Readers Choice – Best local beer, 1998 World Beer Cup silver medal, Top 10 Local beers – Atlanta Journal Constitution",,41,,
pOUbfg,420 Fest,8,N,31.0,3.0,North American Origin Ales,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,420 Fest,TMc6H2,SweetWater Brewing Company,Sweetwater,Y,N,,,,,
jIKwgZ,420 Strain G13 IPA,6,N,30.0,3.0,North American Origin Ales,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,420 Strain G13 IPA,TMc6H2,SweetWater Brewing Company,Sweetwater,Y,N,"G13 IPA is a strange new strain, indeed. We took the dank hop profile you’d expect from a hazy IPA, and married it with terpenes and natural hemp flavors. The result is a big yet balanced IPA that mimics the aroma and taste of a heady, green G13. G13 IPA is a sticky super-hybrid that’s ready to rip.

Pungent and dank aromatics on this terpene infused IPA fill the room once the beer is opened. We went with an aggressive dry hop schedule which interlaces nicely with the unique flavors to bring forward citrus and earthy notes followed by a resinous finish. This one’s fire!

Colombus and Simcoe in the boil and dry hop!",,48,,
lWygSS,471 Double IPA - Hull Melon,9.2,N,31.0,3.0,North American Origin Ales,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,471 Double IPA - Hull Melon,IImUD9,Breckenridge Brewery,Breckenridge,Y,N,,,,,
